datetime_utc,time,open,high,low,close,Growth Arrow,VIX,Global Bottom,Local Bottom,Infl Osc (Hist),Infl Oscillator,Infl Signal,Risk Oscillator,Risk Signal,Macro Infl (C-BEI),Macro Risk (VIX),Macro Base,β Pure (×1000),β Risk (×1000),Pure Hedge Signal,Risk Contamination,VIX Short,VIX Long,USDJPY Flash Z,ES Flash Z,VIX Flash Z
2026-05-07T05:30:00Z,1778131800,81061.3,81113,80950.1,81047.4,48,17.4,0,0,36,36,36.920310641901665,9,11.37586698496317,-438.2394326822538,-569.9555893675532,-500,160.8735871650119,383.16805448870724,0,0,19.16,20.55,0.21284498758505646,-0.2762170126870852,0.2610068234611465
2026-05-07T06:00:00Z,1778133600,81047.4,81047.4,80842.4,80998.4,48,17.4,0,0,35,35,36.53624851352133,9,10.900693587970537,-438.6141996883532,-569.9920868443018,-500,160.87334144570517,383.16782925338583,0,0,19.15,20.55,0.03594949011066703,-0.3581337548124551,0.20074047184292168
2026-05-07T06:30:00Z,1778135400,80998.4,81400,80996.7,81395.3,48,17.4,0,0,35,35,36.22899881081706,8,10.32055487037643,-439.0363775081091,-570.0545037426875,-500,160.873177632834,383.1676790965049,0,0,19.1,20.53,-0.052634940488813654,-0.1331553373539595,-0.42461384234548916
2026-05-07T07:00:00Z,1778137200,81395.3,81680.6,81350,81526,48,17.4,0,0,35,35,35.983199048653645,8,9.856443896301144,-439.4595118287456,-570.0553452225649,-500,160.87306842425323,383.1675789919176,0,0,19.16,20.52,-0.43561126370996306,0.029998392693759028,0.27010480603799697
2026-05-07T07:30:00Z,1778139000,81526.1,81672,81422.7,81480.1,48,17.4,0,0,35,35,35.78655923892292,7,9.285155117040915,-439.8908672045822,-570.0096949927397,-500,160.8729956185327,383.1675122555261,0,0,19.25,20.56,-0.19672198720931602,0.10847359383598182,0.6412721119796879
2026-05-07T08:00:00Z,1778140800,81480,81564.6,81281.6,81385,48,17.4,0,0,34,34,35.42924739113833,7,8.828124093632733,-440.31536877698613,-569.996009464121,-500,160.8729470813857,383.16746776459837,0,0,19.25,20.6,-0.28750599966519214,-0.3172512398804735,0.7609014923811791
2026-05-07T08:30:00Z,1778142600,81385.1,81450,81161.6,81195.9,48,17.4,0,0,34,34,35.143397912910665,6,8.262499274906187,-440.721539980113,-569.9409286590959,-500,160.8729147232877,383.1674381039799,0,0,19.25,20.55,-0.026409447981626425,-0.563775401040981,0.808314587470529
2026-05-07T09:00:00Z,1778144400,81196,81196,80948.2,81000,48,17.4,0,0,34,34,34.91471833032853,5,7.609999419924949,-441.1368139037233,-569.9056688874206,-500,160.87289315122237,383.1674183302343,0,0,19.18,20.5,0.4058553696809717,-0.9066689657969996,0.6659756784467574
2026-05-07T09:30:00Z,1778146200,81000,81069.6,80803,80888.9,48,17.4,0,0,34,34,34.73177466426283,5,7.087999535939959,-441.5368869233661,-569.8582846742539,-500,160.87287876984547,383.16740514773716,0,0,19.24,20.55,0.7189595730979207,-1.2795543577264763,0.6493177948262484
2026-05-07T10:00:00Z,1778148000,80888.8,80970.7,80521.8,80573.6,48,17.4,0,0,33,33,34.385419731410266,4,6.470399628751967,-441.9443225874711,-569.8454402068893,-500,160.87286918226087,383.16739635940576,0,0,19.2,20.55,0.26036207264521544,-1.1945912985656244,-0.20098493682327515
2026-05-07T10:30:00Z,1778149800,80573.6,80876.1,80563.5,80800,48,17.4,0,0,33,33,34.10833578512821,4,5.976319703001574,-442.35826418143455,-569.7880051261445,-500,160.8728627905378,383.1673905005182,0,0,19.25,20.55,0.5937277640681592,-0.8489712865659299,0.10900134080445709
2026-05-07T11:00:00Z,1778151600,80800.1,81028.7,80789,80844,48,17.4,0,0,33,33,33.88666862810257,3,5.3810557624012585,-442.76561388525255,-569.7301462887127,-500,160.8728585293891,383.1673865945931,0,0,19.25,20.55,0.23069374485244937,-0.7180720716349799,0.11232183698492205
2026-05-07T11:30:00Z,1778153400,80844.1,80964.4,80738,80827.9,48,17.4,0,0,33,33,33.709334902482055,2,4.704844609921007,-443.19524162799166,-569.7323702913405,-500,160.87285568862328,383.16738399064303,0,0,19.2,20.57,0.14887191983760606,-0.5679527694252107,0.2392600934293454
2026-05-07T12:00:00Z,1778155200,80827.9,81066,80800,81023.1,48,17.4,0,0,32,32,33.36746792198564,2,4.163875687936805,-443.6135912426413,-569.7613169272984,-500,160.87285379477942,383.16738225467634,0,0,19.15,20.55,0.04499842107017111,-0.054267207038395084,-0.4826855395376177
2026-05-07T12:30:00Z,1778157000,81023.2,81158.7,80960.8,81118.5,48,17.4,0,0,32,32,33.09397433758851,1,3.531100550349444,-444.06096785864753,-569.7450621962569,-500,160.87285253221683,383.1673810973652,0,0,19.2,20.55,0.06318638065640739,-0.03818121091335658,0.10598120633474029
2026-05-07T13:00:00Z,1778158800,81118.4,81123.9,80808.4,80915.1,48,17.4,0,0,32,32,32.87517947007081,1,3.0248804402795555,-444.4959812314504,-569.7557611608518,-500,160.87285169050844,383.16738032582447,0,0,19.15,20.53,-0.07364162771322785,-0.26706752982276605,-0.542446992125979
2026-05-07T13:30:00Z,1778160600,80915.1,80927.2,80187.9,80457.5,48,17.4,0,0,32,32,32.70014357605665,0,2.4199043522236443,-446.7287662248268,-569.7849910494426,-500,160.87285112936954,383.167379811464,0,0,19.1,20.5,0.09851445512961048,-1.0925439931209282,-0.8598936615885784
2026-05-07T14:00:00Z,1778162400,80457.6,80656.2,80316,80369.1,48,17.4,0,0,31,31,32.360114860845314,-1,1.7359234817789155,-448.97937423067145,-569.8541832282467,-500,160.87285075527691,383.167379468557,0,0,19.1,20.55,0.03741267127444583,-0.8141026958138442,-0.5316818427377665
